Rank of Frequency,Nepali,English
1,रूप,as
2,म,I
3,आफ्नो,his
4,कि,that
5,उहाँले,he
6,थियो,was
7,को लागि,for
8,मा,on
9,हो,are
10,संग,with
11,तिनीहरू,they
12,हुन,be
13,मा,at
14,एक,one
15,छ,have
16,यो,this
17,देखि,from
18,द्वारा,by
19,तातो,hot
20,शब्द,word
21,तर,but
22,के,what
23,केही,some
24,छ,is
25,यो,it
26,तपाईं,you
27,वा,or
28,थियो,had
29,को,the
30,को,of
31,गर्न,to
32,र,and
33,एक,a
34,मा,in
35,हामी,we
36,गर्न सक्छन्,can
37,बाहिर,out
38,अन्य,other
39,थिए,were
40,जो,which
41,के,do
42,आफ्नो,their
43,समय,time
44,यदि,if
45,हुनेछ,will
46,कसरी,how
47,भने,said
48,एक,an
49,प्रत्येक,each
50,भन्नु,tell
51,गर्छ,does
52,सेट,set
53,तीन,three
54,चाहनुहुन्छ,want
55,हावा,air
56,राम्रो,well
57,पनि,also
58,खेल,play
59,साना,small
60,अन्त,end
61,डाल,put
62,घर,home
63,पढ्न,read
64,हात,hand
65,पोर्ट,port
66,ठूलो,large
67,हिज्जे,spell
68,जोड,add
69,पनि,even
70,भूमि,land
71,यहाँ,here
72,पर्छ,must
73,ठूलो,big
74,उच्च,high
75,यस्तो,such
76,पछ्याउन,follow
77,काम,act
78,किन,why
79,सोध्न,ask
80,पुरुष,men
81,परिवर्तन,change
82,गए,went
83,प्रकाश,light
84,दयालु,kind
85,बन्द,off
86,आवश्यक,need
87,घर,house
88,चित्र,picture
89,प्रयास,try
90,हामीलाई,us
91,फेरि,again
92,पशु,animal
93,बिन्दु,point
94,आमा,mother
95,संसार,world
96,निकट,near
97,निर्माण,build
98,आत्म,self
99,पृथ्वीमा,earth
100,पिता,father
